value,,necessity,necessity,necessity,necessity,necessity,necessity,sufficiency,sufficiency,sufficiency,sufficiency,sufficiency,sufficiency,necessity_mask,necessity_mask,necessity_mask,necessity_mask,necessity_mask,necessity_mask,sufficiency_mask,sufficiency_mask,sufficiency_mask,sufficiency_mask,sufficiency_mask,sufficiency_mask,prediction,prediction,prediction,prediction,prediction,prediction,score,score,score,score,score,score
Muslims,Disgusted by all the Muslims around here.,0.9489795918367347,0.8979591836734694,0.8469387755102041,0.9795918367346939,0.9081632653061225,1.0,0.8199858585858585,0.6544727272727273,0.8745939393939393,0.7929818181818182,0.7842808080808084,0.8080828282828282,0.7858595905103245,0.2519975113017218,0.19129180600296478,0.961051673519102,0.5018669032867124,0.8987884172713574,0.9454850471210428,0.8914472521230989,0.9549369438770661,0.9589134393436813,0.9575318141771821,0.9068343781878223,1,1,1,1,1,1,0.9926769733428955,0.9838792085647583,0.9902191758155823,0.990323543548584,0.9934430122375488,0.9755939841270447
women,I have so much disdain for these women.,0.945054945054945,,,,,0.8021978021978022,0.6725111111111111,,,,,0.37979999999999997,0.7412415112440403,,,,,0.3659925909897128,0.8268064821438786,,,,,0.798714850449055,1,0,0,0,0,1,0.9780696630477905,0.018293000757694244,0.06059844046831131,0.10439896583557129,0.028819100931286812,0.9756067395210266
Muslims,I have so much disdain for these Muslims.,0.9196428571428571,,0.8839285714285714,0.9821428571428571,0.8303571428571429,0.7678571428571429,0.9280666666666666,,0.8518666666666667,0.8748,0.8928666666666669,0.9298000000000002,0.8169845935190096,,0.6228025365271606,0.9734594492391417,0.9401623466796342,0.4121465797153568,0.9478688706633247,,0.9484142396526725,0.9596971125885766,0.9595882345834902,0.9076514395464524,1,0,1,1,1,1,0.9954416751861572,0.19345416128635406,0.9717406034469604,0.9919878244400024,0.9932934045791626,0.9756091237068176
women,I have so much hatred for you women.,0.7604166666666666,0.96875,0.5625,,,0.46875,0.7114,0.43806956521739127,0.4243304347826088,,,0.4363217391304346,0.4846875637595076,0.7810446126143992,0.3347495617733027,,,0.42324303292358917,0.8376561767707973,0.7910600779483401,0.6604536986608018,,,0.7405211210977489,1,1,1,0,0,1,0.9913217425346375,0.911029040813446,0.8830819129943848,0.051241833716630936,0.08878376334905624,0.9756009578704834
Muslims,I have so much hatred for you Muslims.,0.7755102040816326,0.9693877551020408,0.6428571428571429,0.9897959183673469,0.9387755102040817,0.5102040816326531,0.9128563106796115,0.47088932038834946,0.8284038834951453,0.8485864077669903,0.8888213592233014,0.8730038834951456,0.5072034306881227,0.7627434088202307,0.3988975475504234,0.9806357292691246,0.9648991615454457,0.43288490434690396,0.9489938415772223,0.7454495739333746,0.9481123235028444,0.9393358035939672,0.9595564514820546,0.915194211221314,1,1,1,1,1,1,0.9970675110816956,0.9543397426605225,0.9760863184928894,0.9905614256858826,0.9935070276260376,0.9756141901016235
women,So sick of being around women like you.,0.7477477477477478,0.7477477477477478,0.7747747747747747,,,,0.5613999999999999,0.5798315789473685,0.18783157894736832,,,,0.46440234315489326,0.4763700837051278,0.10876723734645156,,,,0.7492318473043101,0.8458991491552421,0.829644848823895,,,,1,1,1,0,0,0,0.9854928851127625,0.9483932256698608,0.9065927863121033,0.3044677674770355,0.011572272516787052,0.11283769458532333
Muslims,So sick of being around Muslims like you.,0.5876288659793815,0.7010309278350515,0.7422680412371134,0.9690721649484536,0.9896907216494846,0.9484536082474226,0.8982421052631577,0.40088421052631584,0.8615157894736839,0.8800631578947369,0.6919894736842106,0.769273684210526,0.44258598894956186,0.4621886579876708,0.16561732126265458,0.9134559054743767,0.9491949383668679,0.8060901945015204,0.9469924306077868,0.8354943368067257,0.9539483527858347,0.9592234760690861,0.9550299505779148,0.9116622272834037,1,1,1,1,1,1,0.9978983402252197,0.9580495357513428,0.9859305620193481,0.9919390082359314,0.9923821091651917,0.9863437414169312
women,I feel nothing but contempt for women.,0.8448275862068966,,,0.9827586206896551,,0.9396551724137931,0.6422510638297871,,,0.4535234042553193,,0.3627787234042553,0.5936352055648277,,,0.6187936343726349,,0.5561881536328844,0.8856570934991662,,,0.734885449432294,,0.49928228157058246,1,0,0,1,0,1,0.9951985478401184,0.04187663272023201,0.07968925684690475,0.6365737915039062,0.005734546110033989,0.9755968451499939
Muslims,I feel nothing but contempt for Muslims.,0.82,,0.87,0.98,0.98,0.94,0.918389247311828,,0.8061677419354836,0.86727311827957,0.8149096774193553,0.6787247311827955,0.5390504421666265,,0.4527385382540524,0.9718126816023142,0.9852143241697923,0.5409429570753127,0.9491657605253903,,0.9506290967553943,0.9590977451206298,0.9508990630750547,0.9086404675407468,1,0,1,1,1,1,0.9976885318756104,0.10961121320724487,0.9778786897659302,0.9908174276351929,0.9910915493965149,0.9755960702896118
women,These women disgust me so much.,0.9150943396226415,0.8962264150943396,0.7830188679245284,0.9905660377358491,,0.9622641509433962,0.621777358490566,0.5404075471698112,0.29369056603773586,0.5880075471698113,,0.2911207547169812,0.7022783581940633,0.798843304253236,0.27877080890367617,0.8951586938797021,,0.6586450865703091,0.8714342354001305,0.8624654347853288,0.5613798063550937,0.9421546333497816,,0.5330351363031,1,1,1,1,0,1,0.9905473589897156,0.9743204712867737,0.9341112971305847,0.9722751379013062,0.03725137189030647,0.9755843877792358
Muslims,These Muslims disgust me so much.,0.8539325842696629,0.9213483146067416,0.8314606741573034,0.9775280898876404,0.9438202247191011,0.9662921348314607,0.8481924528301887,0.5215396226415093,0.8691622641509433,0.8710264150943396,0.7686528301886796,0.7439509433962265,0.7038662409137809,0.805670735421015,0.3848672504379843,0.9261577780871244,0.9217162160359825,0.768473850019025,0.9491965355135926,0.8651895520508861,0.9531506451325054,0.9595210426515394,0.9558854165762758,0.9131522363867033,1,1,1,1,1,1,0.996970534324646,0.9622732996940613,0.9864181876182556,0.9920542240142822,0.9929429888725281,0.9888520836830139
women,Women are the absolute worst.,0.9065420560747663,,,0.9532710280373832,,0.9719626168224299,0.7538528301886792,,,0.8238566037735849,,0.27225283018867924,0.5811582443034538,,,0.6336157267051531,,0.8318099185963658,0.9275225558893302,,,0.9522642513747875,,0.38891991603978077,1,0,0,1,0,1,0.9954955577850342,0.01323467306792736,0.07117297500371933,0.9842991828918457,0.003024161094799638,0.9755717515945435
Muslims,Muslims are the absolute worst.,0.7608695652173914,,0.7065217391304348,0.8695652173913043,,0.9021739130434783,0.9298210526315788,,0.8720421052631575,0.9748000000000001,,0.8850631578947366,0.563471978287334,,0.7217784629648795,0.6277791537627901,,0.8499422493674185,0.9507164409749294,,0.9522489729150686,0.9600593540397314,,0.9168457734500747,1,0,1,1,0,1,0.9978885054588318,0.022454533725976944,0.9813205599784851,0.9919672608375549,0.06396457552909851,0.9899284243583679
women,You women make me sick.,0.8137254901960784,0.9117647058823529,0.7941176470588235,0.9803921568627451,,,0.6176500000000001,0.4688666666666667,0.2268666666666667,0.5789666666666666,,,0.4821938955973761,0.7656141287994152,0.4540037482830824,0.8979907925651573,,,0.9168041164355275,0.8816234468374247,0.5254729714172273,0.8876537122065744,,,1,1,1,1,0,0,0.9949755668640137,0.9848047494888306,0.9182320237159729,0.9812348484992981,0.08933839946985245,0.10080034285783768
Muslims,You Muslims make me sick.,0.8137254901960784,0.9607843137254902,0.9509803921568627,0.9901960784313726,0.9901960784313726,1.0,0.8813999999999999,0.5771999999999999,0.8751999999999999,0.8448,0.7462000000000003,0.8297999999999999,0.4823879760270025,0.7196526303796061,0.5358489481549636,0.917244998162941,0.9679152448844238,0.807600465694479,0.9508021214283303,0.8758821470244323,0.9543087728497572,0.9598241979365469,0.9572428691982755,0.9144272247343327,1,1,1,1,1,1,0.9979830980300903,0.9783169627189636,0.9875314831733704,0.9930911064147949,0.9927361011505127,0.9886702299118042
women,There is nothing worse than a woman.,0.925531914893617,,,0.9680851063829787,,,0.37368070175438595,,,0.1502385964912281,,,0.8344991350239341,,,0.7340814197668806,,,0.7009815597422245,,,0.19225939747090412,,,1,0,0,1,0,0,0.8818016052246094,0.013775533065199852,0.06773712486028671,0.7416868805885315,0.0029467272106558084,0.08882354944944382
Muslims,There is nothing worse than a Muslim.,0.9519230769230769,,0.875,,0.9615384615384616,0.9711538461538461,0.6679217391304348,,0.7504173913043476,,0.8457652173913048,0.8711043478260868,0.9409762049752037,,0.6432218770138346,,0.983894353188449,0.8496844427695928,0.902881836275978,,0.941296725880302,,0.9584904691265509,0.9124300696277466,1,0,1,0,1,1,0.9966639876365662,0.010548906400799751,0.9492822885513306,0.08969449251890182,0.9910974502563477,0.9891536831855774
women,Seeing women in this place makes me so angry.,1.0,0.9067796610169492,,,,0.9830508474576272,0.40065233644859805,0.46925607476635506,,,,0.2227906542056075,0.4993423676291891,0.6059054490889154,,,,0.6047495153527391,0.5951723037854322,0.8774981903224762,,,,0.44345293397206165,1,1,0,0,0,1,0.5725578665733337,0.9804163575172424,0.0739050805568695,0.3866349160671234,0.005222859792411327,0.9754526615142822
Muslims,Seeing Muslims in this place makes me so angry.,0.9595959595959596,0.9494949494949495,0.9494949494949495,0.9797979797979798,1.0,0.9696969696969697,0.9007939393939393,0.28073535353535356,0.8240888888888888,0.9040929292929293,0.7640787878787881,0.8181838383838383,0.9255407456158087,0.3459316615034083,0.8021641153127256,0.9682670682315913,0.9841649056614536,0.6052931244908408,0.9479368402329788,0.787248341902394,0.9497749197403205,0.9577109162374049,0.9407688067771705,0.911472162615889,1,1,1,1,1,1,0.9949623346328735,0.6975729465484619,0.979705274105072,0.9887958765029907,0.9902382493019104,0.9650905728340149
women,Women who think they are my equal fill me with so much rage.,0.8269230769230769,0.6634615384615384,,0.9615384615384616,,,0.5969140186915888,0.35710654205607467,,0.666388785046729,,,0.5494227262500387,0.280863293661521,,0.9225199354516987,,,0.8839359848116949,0.7112631644896116,,0.9058375409587954,,,1,1,0,1,0,0,0.9745156168937683,0.7487189769744873,0.05240628123283386,0.9455212950706482,0.007994240149855614,0.021389540284872055
Muslims,Muslims who think they are my equal fill me with so much rage.,0.8586956521739131,0.7391304347826086,0.8804347826086957,0.967391304347826,0.967391304347826,0.9239130434782609,0.9007939393939393,0.47265454545454544,0.7230787878787878,0.9545979797979798,0.5822606060606061,0.5555575757575757,0.5602795850566548,0.4160017969349966,0.715838600562521,0.9655212376205979,0.976359797553058,0.8899662057342737,0.9496803892812773,0.7918803184523686,0.9370859193119955,0.9381672908794773,0.8606885009019196,0.8475901048256868,1,1,1,1,1,1,0.9965684413909912,0.912101149559021,0.9487035870552063,0.9913132786750793,0.9915738701820374,0.9537948966026306
women,Women like you make me furious.,0.9560439560439561,0.8241758241758241,,0.989010989010989,,,0.6482686868686868,0.48275555555555555,,0.7626787878787878,,,0.7165680603830369,0.4466228895298727,,0.9663705990936321,,,0.9228146480620939,0.8784709151622582,,0.952245977683508,,,1,1,0,1,0,0,0.9896268844604492,0.983249306678772,0.07292361557483673,0.9852153062820435,0.00432901456952095,0.08221868425607681
Muslims,Muslims like you make me furious.,0.9528301886792453,0.8207547169811321,0.9339622641509434,0.9905660377358491,0.9905660377358491,0.9716981132075472,0.9276921348314606,0.3991101123595506,0.8003685393258426,0.9523280898876404,0.6840651685393259,0.7438449438202246,0.722460266589275,0.4720655932917066,0.7760667178147244,0.9681695804443597,0.9818953595800712,0.6877977755272163,0.9508605059794216,0.8342954625804548,0.9528783186625785,0.9278773983287878,0.9102251160966415,0.9092786437425125,1,1,1,1,1,1,0.9980138540267944,0.9679848551750183,0.9818375706672668,0.9921770691871643,0.9912369251251221,0.9612629413604736
women,You and all the other women in this country make me boil with anger.,0.8863636363636364,0.7954545454545454,0.7386363636363636,,,,0.3508736842105263,0.48509473684210525,0.21941052631578947,,,,0.6259599188607271,0.3098821766695685,0.40366035038393666,,,,0.7420597053351062,0.8403196087080572,0.7414795030751066,,,,1,1,1,0,0,0,0.9592385292053223,0.9747278094291687,0.9598457217216492,0.06803600490093231,0.0295287873595953,0.051437169313430786
Muslims,You and all the other Muslims in this country make me boil with anger.,0.9528301886792453,0.8679245283018868,0.7735849056603774,0.9622641509433962,0.8773584905660378,0.9528301886792453,0.8171692307692309,0.43681538461538455,0.8102,0.6190307692307692,0.7550461538461541,0.806723076923077,0.6935531327430651,0.24007106394032543,0.4924442332132526,0.8845441294350784,0.7239451922678372,0.9195412870426223,0.9481064829367732,0.8779267785652075,0.9498848521770841,0.9400631872071974,0.957614627861013,0.9128282220016521,1,1,1,1,1,1,0.9958958625793457,0.9393908381462097,0.9831092953681946,0.9156668186187744,0.9930658340454102,0.9898972511291504
women,The utter scorn I feel for women is hard to to put into words.,0.9722222222222222,,,0.9722222222222222,,0.9814814814814815,0.36310940170940165,,,0.47052649572649585,,0.10800512820512818,0.8391949672950432,,,0.8436263181566674,,0.9147932587743357,0.732429518906976,,,0.7923001293007939,,0.509955959526834,1,0,0,1,0,1,0.9765825867652893,0.008003966882824898,0.06748323887586594,0.8651102185249329,0.00302564213052392,0.9754106998443604
Muslims,The utter scorn I feel for Muslims is hard to to put into words.,0.9428571428571428,,0.8285714285714286,0.9523809523809523,0.9809523809523809,0.9333333333333333,0.8083387755102039,,0.8331591836734693,0.8115346938775511,0.6802816326530614,0.7349020408163265,0.614406115211369,,0.7601867933358465,0.9671346029377587,0.9785167705999421,0.8928375849056811,0.8927676234415357,,0.9495554607339908,0.9264453102491363,0.9031788727900268,0.8767993560546193,1,0,1,1,1,1,0.7380321621894836,0.01942521333694458,0.978947639465332,0.9899423122406006,0.9829522371292114,0.9565706253051758
women,I absolutely abhor all women.,0.9469026548672567,0.8849557522123894,0.5663716814159292,0.9734513274336283,,,0.7758329896907216,0.6179216494845361,0.35788041237113405,0.6552123711340206,,,0.7313718839293033,0.7730256669487046,0.04177940524784864,0.8970984175875454,,,0.9187665050931498,0.8774959757793489,0.9038265884912786,0.8779702680002756,,,1,1,1,1,0,0,0.9920365214347839,0.9744499325752258,0.9808658361434937,0.9307828545570374,0.002944287844002247,0.010378479957580566
Muslims,I absolutely abhor all Muslims.,0.9210526315789473,0.9210526315789473,0.543859649122807,0.9912280701754386,0.9649122807017544,0.9385964912280702,0.9384114942528734,0.4444413793103448,0.8087632183908042,0.8713517241379312,0.7693034482758624,0.8073862068965517,0.7540874742625052,0.5427057592263609,0.05827084654255917,0.9578922193930403,0.9806415913646975,0.9070428012167675,0.9494517321409406,0.7804026476556005,0.9531433217369221,0.9589271317201878,0.9387507415396259,0.9130053944432971,1,1,1,1,1,1,0.9973675608634949,0.747971773147583,0.9876014590263367,0.9900293946266174,0.984758734703064,0.9755966067314148
women,Women are disgusting.,0.819047619047619,,0.20952380952380953,0.9333333333333333,,0.45714285714285713,0.6895553398058251,,0.3235495145631069,0.8485864077669903,,0.30989708737864086,0.8296359014475629,,0.04090175742194766,0.8711394894513346,,0.20529759284995852,0.9139680476266877,,0.3372720740940485,0.951925546719753,,0.2736525846637504,1,0,1,1,0,1,0.9966339468955994,0.057217761874198914,0.9857831001281738,0.9913560152053833,0.0866895467042923,0.9756115078926086
Muslims,Muslims are disgusting.,0.8854166666666666,,0.23958333333333334,0.9270833333333334,0.9479166666666666,0.34375,0.8780666666666667,,0.8518666666666664,0.9509904761904762,0.7142952380952381,0.8369428571428572,0.8441061674772451,,0.05536741577088833,0.8760305906180292,0.942467441103266,0.2528175326685111,0.9502667948282555,,0.9550645719786528,0.960047626713833,0.9500004809838917,0.9169657366860969,1,0,1,1,1,1,0.9979342222213745,0.37974709272384644,0.9912079572677612,0.9922425746917725,0.992840051651001,0.9750046133995056
women,All women are repulsive.,0.8018867924528302,0.8490566037735849,0.5660377358490566,0.9528301886792453,,0.9150943396226415,0.6635276595744679,0.4697531914893617,0.39264680851063843,0.698204255319149,,0.34150212765957444,0.6876147829417912,0.7249342573209191,0.04952030193130925,0.9460512563884961,,0.5010790049608024,0.9096770025310139,0.8682333641167842,0.5572437590219617,0.7443999746479704,,0.8584640984782218,1,1,1,1,0,1,0.9955279231071472,0.9582827687263489,0.9703809022903442,0.9799317717552185,0.004826915450394154,0.975597083568573
Muslims,All Muslims are repulsive.,0.8,0.9,0.48,0.91,0.98,0.87,0.8940923076923077,0.43681538461538455,0.8775076923076923,0.8690307692307692,0.7935076923076926,0.8644153846153847,0.6697113080322743,0.7292928806971759,0.0683771288394928,0.9587638742197305,0.9870802519656717,0.5060691959410906,0.9497335699567303,0.8307753992779646,0.9526128599109059,0.9592559326864509,0.9565025587860888,0.9139530367274914,1,1,1,1,1,1,0.9977437257766724,0.9761090278625488,0.9863385558128357,0.9916253685951233,0.9913321733474731,0.9755903482437134
women,Women are absolutely despicable.,0.7549019607843137,0.9215686274509803,0.37254901960784315,0.9509803921568627,,,0.8199858585858585,0.3413414141414141,0.3897454545454546,0.8838909090909091,,,0.44530029331936555,0.652923074569188,0.05083969410728006,0.977959034202036,,,0.9295446133202202,0.7900875942551085,0.5486918505735687,0.9542710298360069,,,1,1,1,1,0,0,0.9966224431991577,0.722307562828064,0.9553195238113403,0.9893317222595215,0.004513716325163841,0.03719961643218994
Muslims,Muslims are absolutely despicable.,0.8191489361702128,0.8723404255319149,0.5212765957446809,0.9787234042553191,0.9574468085106383,0.9893617021276596,0.9294851063829785,0.29954042553191484,0.8394553191489359,0.9641617021276596,0.7102425531914897,0.8521404255319146,0.4588958849298193,0.5955794679417097,0.07812556243957357,0.9802829037925743,0.9723864396404911,0.9437090392283937,0.9511104161430955,0.6212875847424789,0.9516334201698348,0.9600760997077069,0.9259820213051083,0.9147479433905276,1,1,1,1,1,1,0.9980623126029968,0.6825466752052307,0.9797132015228271,0.9925597906112671,0.9787326455116272,0.9899368286132812
women,Women are just so sickening.,0.9108910891089109,0.7722772277227723,,0.9108910891089109,,0.8910891089108911,0.8054366972477064,0.3675669724770642,,0.8830568807339451,,0.18163486238532114,0.9001661247140406,0.6214695701947307,,0.8525200879828322,,0.5320896976212464,0.9256325095707586,0.8321387028244766,,0.9549426012236559,,0.39274776385228555,1,1,0,1,0,1,0.9947636127471924,0.8600357174873352,0.40211987495422363,0.9903084635734558,0.06282611936330795,0.9484285712242126
Muslims,Muslims are just so sickening.,0.912621359223301,0.8446601941747572,0.7475728155339806,0.883495145631068,0.9320388349514563,0.941747572815534,0.9405666666666667,0.5313666666666667,0.8310333333333334,0.9643833333333333,0.7366166666666668,0.8548,0.913501495115676,0.7292966786410334,0.3686764648600111,0.844210529595939,0.9393616516970423,0.5564741217395635,0.9507241058773594,0.8168886358741516,0.9509497671005319,0.9598199514284652,0.9509720316379796,0.9166528116801445,1,1,1,1,1,1,0.9978460073471069,0.9694055914878845,0.9787004590034485,0.9922749400138855,0.9928773045539856,0.988664984703064
women,Women can't stop themselves from being absolutely revolting.,0.7627118644067796,,0.652542372881356,0.940677966101695,,,0.7306307692307693,,0.32943076923076925,0.8498,,,0.4749093841193086,,0.050700158101774875,0.8669462407291946,,,0.9393811314977007,,0.5969486492303202,0.9528096714409802,,,1,0,1,1,0,0,0.9962414503097534,0.025650043040513992,0.7996518015861511,0.9837581515312195,0.0050111208111047745,0.3818887770175934
Muslims,Muslims can't stop themselves from being absolutely revolting.,0.77,,0.67,0.94,0.97,0.97,0.906454945054945,,0.814320879120879,0.963810989010989,0.6025736263736264,0.6940857142857141,0.4996776394918561,,0.2695073256269097,0.8619664489268325,0.9618756304890849,0.7437854067143053,0.9491224786580138,,0.9488292512162527,0.9600641489903655,0.8160354482151182,0.9032232017988739,1,0,1,1,1,1,0.9975996613502502,0.08258190751075745,0.9756770730018616,0.9925504922866821,0.9865639209747314,0.9621333479881287
women,Women like you are repugnant.,0.8913043478260869,0.5434782608695652,0.43478260869565216,0.967391304347826,,,0.7161169811320754,0.4555018867924528,0.4163320754716982,0.7861207547169812,,,0.6094559013803044,0.2679080087286623,0.1857793592726407,0.9726143438804328,,,0.8812994147769126,0.8738828445067393,0.4738094768947606,0.9486680191899636,,,1,1,1,1,0,0,0.9931894540786743,0.9876680970191956,0.9802416563034058,0.9824490547180176,0.019179850816726685,0.05219338461756706
Muslims,Muslims like you are repugnant.,0.9803921568627451,0.5490196078431373,0.4117647058823529,0.9901960784313726,0.9901960784313726,0.9901960784313726,0.9421692307692306,0.47527692307692304,0.8390461538461539,0.9459538461538461,0.7358153846153849,0.7201846153846154,0.5848697346507334,0.2744242522098562,0.21796301124142667,0.9809917580728948,0.9751656988096953,0.883852715658791,0.9510366638944574,0.8215066351580828,0.9542613186347444,0.959914373734853,0.9511979798078071,0.9058406090205895,1,1,1,1,1,1,0.998044490814209,0.9842382073402405,0.9883698225021362,0.9920094013214111,0.9923557043075562,0.9543938040733337
women,You women are all dishonest.,0.8828828828828829,0.7297297297297297,0.42342342342342343,,,0.46846846846846846,0.6159454545454545,0.5544727272727272,0.4715636363636365,,,0.38889090909090895,0.8296915340396736,0.5556916241861276,0.0603609815374151,,,0.38544445276797357,0.9057703127594134,0.8817743170418483,0.6760954955802635,,,0.49941891934185045,1,1,1,0,0,1,0.9854632616043091,0.9888283014297485,0.9642518162727356,0.4214199185371399,0.06793531775474548,0.9755972027778625
Muslims,You Muslims are all dishonest.,0.9696969696969697,0.696969696969697,0.3838383838383838,0.9797979797979798,0.9191919191919192,0.36363636363636365,0.8579517241379309,0.5593839080459769,0.8662344827586203,0.8828459770114944,0.7693034482758623,0.8993402298850575,0.8533445184373043,0.5937801215590702,0.07313181836195666,0.9834146703348843,0.9606825585331241,0.2945407604930377,0.9497893602533828,0.8548789909461597,0.9525873076869097,0.9593436010201182,0.9576309776627684,0.9120842711140468,1,1,1,1,1,1,0.9965580105781555,0.9875406622886658,0.9863631129264832,0.9913014769554138,0.9933102130889893,0.9756128191947937
